Time Sampled,Die Temperature Present (C),Die Temperature Device Max, Die Temperature Device Min,Die Temperature Sampled Max,Die Temperature Sampled Min,Die Temperature Window Average,Die Temperature Window Max,Die Temperature Window Min,VCCINT Supply Present (V),VCCINT Supply Device Max,VCCINT Supply Device Min,VCCINT Supply Sampled Max,VCCINT Supply Sampled Min,VCCINT Supply Window Average,VCCINT Supply Window Max,VCCINT Supply Window Min,VCCAUX Supply Present (V),VCCAUX Supply Device Max,VCCAUX Device Min,VCCAUX Supply Sampled Max,VCCAUX Supply Sampled Min,VCCAUX Supply Window Average,VCCAUX Supply Window Max,VCCAUX Supply Window Min
2014.07.01 11:25:57, 84.0,85.5,77.5,231.0,53.5,83.6,84.0,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.491,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:25:58, 84.5,85.5,77.5,231.0,53.5,83.7,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.493,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:25:59, 84.0,85.5,77.5,231.0,53.5,83.7,84.5,83.5,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:26:00, 84.5,85.5,77.5,231.0,53.5,83.8,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:26:01, 84.0,85.5,77.5,231.0,53.5,83.8,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.494,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:26:02, 84.0,85.5,77.5,231.0,53.5,83.8,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.491,2.497,2.488,3.000,2.486,2.493,2.494,2.491,

2014.07.01 11:26:03, 84.0,85.5,77.5,231.0,53.5,83.8,84.5,83.5,1.003,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.492,2.494,2.491,

2014.07.01 11:26:04, 84.0,85.5,77.5,231.0,53.5,83.8,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.492,2.494,2.491,

2014.07.01 11:26:05, 84.0,85.5,77.5,231.0,53.5,83.9,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:06, 84.5,85.5,77.5,231.0,53.5,83.9,84.5,83.5,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:07, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:08, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:09, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,83.5,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:10, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,83.5,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:11, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,83.5,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.496,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:12, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:13, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:14, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:15, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:16, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:17, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:18, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:19, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:20, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:21, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.494,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:22, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.491,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:23, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.494,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:24, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.493,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:25, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.496,2.491,

2014.07.01 11:26:26, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.491,2.497,2.488,3.000,2.486,2.492,2.496,2.491,

2014.07.01 11:26:27, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.003,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.492,2.495,2.491,

2014.07.01 11:26:28, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.492,2.495,2.491,

2014.07.01 11:26:29, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.493,2.497,2.488,3.000,2.486,2.492,2.495,2.491,

2014.07.01 11:26:30, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.492,2.495,2.491,

2014.07.01 11:26:31, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:32, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:33, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:34, 84.0,85.5,77.5,231.0,53.5,84.0,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:35, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:36, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:37, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:38, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:39, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:40, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:41, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:42, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:43, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:44, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.003,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:45, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.006,1.007,1.002,3.000,1.001,1.005,1.006,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:46, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.006,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:47, 84.5,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.006,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:48, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.006,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:49, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:50, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:51, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.003,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:52, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:53, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:54, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:55, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:56, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:57, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:58, 84.5,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.493,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:26:59, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:00, 84.5,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.006,1.003,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:01, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:02, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:03, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:04, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.003,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:05, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.495,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:06, 84.5,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.003,2.491,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:07, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:08, 84.5,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:09, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:10, 84.0,85.5,77.5,231.0,53.5,84.2,84.5,84.0,1.005,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.494,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:11, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.005,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:12, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

2014.07.01 11:27:13, 84.0,85.5,77.5,231.0,53.5,84.1,84.5,84.0,1.004,1.007,1.002,3.000,1.001,1.004,1.005,1.004,2.492,2.497,2.488,3.000,2.486,2.493,2.495,2.491,

