Index,SetFrequency
2,360.226000000000
4,360.360000000000
8,361.788000000000
9,361.854000000000
14,362.376000000000
19,363.010000000000
21,363.428000000000
24,363.743000000000
28,364.440000000000
33,365.150000000000
36,365.980000000000
37,366.079000000000
40,366.442000000000
42,366.795000000000
47,367.640000000000
50,368.057000000000
51,368.128000000000
53,368.555000000000
57,369.104000000000
61,369.706000000000
66,370.342000000000
67,370.417000000000
69,370.514000000000
72,372.290000000000
74,372.453000000000
75,372.522000000000
80,373.230000000000
82,373.550000000000
85,374.052000000000
90,374.720000000000
92,375.256000000000
95,375.669000000000
97,375.888000000000
100,376.588000000000
104,377.128000000000
114,378.600000000000
116,379.665000000000
117,379.756000000000
121,380.270000000000
124,380.770000000000
129,381.632000000000
132,381.957000000000
134,382.662000000000
142,383.719000000000
145,384.395000000000
149,384.910000000000
151,385.458000000000
153,385.668000000000
155,386.100000000000
157,386.316000000000
161,387.059000000000
163,387.335000000000
170,388.374000000000
171,388.492000000000
173,388.658000000000
175,388.736000000000
177,391.220000000000
178,391.288000000000
179,391.384000000000
181,391.550000000000
188,392.535000000000
190,392.810000000000
192,393.176000000000
197,394.098000000000
199,394.362000000000
204,395.359000000000
206,395.963000000000
215,397.530000000000
223,398.970000000000
226,399.381000000000
229,400.465000000000
230,400.574000000000
234,401.200000000000
236,401.665000000000
239,402.060000000000
248,403.840000000000
250,404.226000000000
252,404.552000000000
258,405.362000000000
259,405.405000000000
261,407.030000000000
262,407.094000000000
263,407.212000000000
268,407.926000000000
272,408.761000000000
274,408.968000000000
282,410.905000000000
287,411.840000000000
290,412.351000000000
297,414.236000000000
302,415.043000000000
304,415.462000000000
306,415.690000000000
308,416.271000000000
314,417.248000000000
317,418.376000000000
326,420.078000000000
327,420.160000000000
332,421.378000000000
334,421.754000000000
337,422.163000000000
339,422.874000000000
343,423.574000000000
350,425.272000000000
356,426.329000000000
366,428.520000000000
368,428.864000000000
380,430.705000000000
381,430.806000000000
382,430.877000000000
386,435.582000000000
387,435.662000000000
390,435.930000000000
404,438.180000000000
406,438.536000000000
425,442.804000000000
436,445.483000000000
438,445.922000000000
441,446.367000000000
462,451.782000000000
466,452.786000000000
473,454.198000000000
483,457.088000000000
494,460.089000000000
498,461.038000000000
502,462.029000000000
522,467.392000000000
524,467.634000000000
531,469.860000000000
0,0
