Index,SetFrequency
0,360.188000000000
2,360.360000000000
4,360.800000000000
8,361.431000000000
11,361.790000000000
12,361.852000000000
17,362.619000000000
20,363.165000000000
26,364.224000000000
29,364.455000000000
33,364.854000000000
34,364.902000000000
36,365.446000000000
39,365.748000000000
41,366.054000000000
43,366.255000000000
44,366.352000000000
46,366.984000000000
47,367.048000000000
49,367.290000000000
51,367.640000000000
54,368.016000000000
58,368.774000000000
63,369.655000000000
66,370.070000000000
68,370.240000000000
70,370.884000000000
72,371.052000000000
76,371.563000000000
77,371.640000000000
79,372.054000000000
82,372.476000000000
86,372.894000000000
88,373.716000000000
89,373.780000000000
93,374.220000000000
97,374.710000000000
99,375.232000000000
107,376.300000000000
108,376.371000000000
113,377.520000000000
116,377.834000000000
118,378.115000000000
123,378.898000000000
125,379.436000000000
126,379.485000000000
128,379.746000000000
131,380.204000000000
133,380.576000000000
138,381.150000000000
142,382.448000000000
143,382.533000000000
146,382.848000000000
154,384.028000000000
155,384.120000000000
158,384.600000000000
159,384.666000000000
161,385.320000000000
162,385.385000000000
166,385.978000000000
174,387.372000000000
178,387.918000000000
180,388.080000000000
184,389.577000000000
185,389.664000000000
190,390.222000000000
195,390.972000000000
197,391.352000000000
200,391.742000000000
202,392.292000000000
204,392.520000000000
206,392.810000000000
209,393.250000000000
212,394.168000000000
213,394.205000000000
216,394.638000000000
218,395.010000000000
223,395.920000000000
226,396.351000000000
227,396.416000000000
229,396.880000000000
233,397.486000000000
237,398.164000000000
242,398.811000000000
243,398.878000000000
245,399.062000000000
248,400.964000000000
250,401.115000000000
251,401.192000000000
256,401.940000000000
258,402.250000000000
261,402.783000000000
266,403.584000000000
268,404.096000000000
271,404.586000000000
273,404.784000000000
276,405.604000000000
280,406.127000000000
285,407.094000000000
289,407.676000000000
290,407.760000000000
292,408.870000000000
293,408.980000000000
297,409.530000000000
300,410.060000000000
305,411.008000000000
308,411.312000000000
310,412.146000000000
318,413.217000000000
321,413.930000000000
325,414.556000000000
327,415.089000000000
329,415.368000000000
331,415.800000000000
333,415.989000000000
337,416.845000000000
339,417.130000000000
346,418.264000000000
347,418.340000000000
349,418.528000000000
351,418.688000000000
353,421.352000000000
354,421.378000000000
355,421.456000000000
357,421.650000000000
364,422.730000000000
366,423.060000000000
368,423.409000000000
373,424.422000000000
375,424.710000000000
380,425.744000000000
382,426.385000000000
391,428.148000000000
399,429.660000000000
402,430.083000000000
405,431.270000000000
406,431.367000000000
410,432.050000000000
412,432.575000000000
415,432.960000000000
424,434.944000000000
426,435.336000000000
428,435.662000000000
434,436.508000000000
435,436.590000000000
437,438.340000000000
438,438.444000000000
439,438.516000000000
444,439.314000000000
448,440.176000000000
450,440.440000000000
458,442.475000000000
463,443.520000000000
466,444.034000000000
473,446.136000000000
478,446.949000000000
480,447.392000000000
482,447.645000000000
484,448.305000000000
490,449.332000000000
493,450.520000000000
502,452.408000000000
503,452.480000000000
508,453.828000000000
510,454.206000000000
513,454.608000000000
515,455.382000000000
519,456.170000000000
526,457.973000000000
532,459.086000000000
542,461.520000000000
544,461.824000000000
556,463.815000000000
557,463.923000000000
558,464.035000000000
562,469.098000000000
563,469.212000000000
566,469.480000000000
580,471.900000000000
582,472.248000000000
601,476.904000000000
612,479.765000000000
614,480.201000000000
617,480.681000000000
638,486.552000000000
642,487.630000000000
649,489.114000000000
659,492.288000000000
670,495.495000000000
674,496.479000000000
678,497.547000000000
698,503.360000000000
700,503.624000000000
707,505.980000000000
731,512.757000000000
736,514.413000000000
758,520.696000000000
769,522.846000000000
789,531.279000000000
812,537.768000000000
817,539.712000000000
978,597.903000000000
979,598.169000000000
980,598.370000000000
981,598.496000000000
983,601.399000000000
984,601.535000000000
985,601.720000000000
986,602
987,602.323000000000
988,602.764000000000
989,603.064000000000
990,603.400000000000
991,603.900000000000
992,604.107000000000
993,604.542000000000
994,605.064000000000
995,605.376000000000
996,605.745000000000
997,605.926000000000
998,606.632000000000
999,607.346000000000
1000,607.522000000000
1001,607.893000000000
1002,608.175000000000
1003,608.640000000000
1004,609.214000000000
1005,609.660000000000
1006,610
1007,610.232000000000
1008,610.613000000000
1009,610.896000000000
1010,611.105000000000
1011,611.258000000000
1012,612.486000000000
1014,613.833000000000
1015,614
1016,614.255000000000
1017,614.628000000000
1018,615.148000000000
1019,615.468000000000
1020,616
1022,616.642000000000
1023,616.928000000000
1025,618.298000000000
1030,620
