Time Sampled,Die Temperature Present (C),Die Temperature Device Max, Die Temperature Device Min,Die Temperature Sampled Max,Die Temperature Sampled Min,Die Temperature Window Average,Die Temperature Window Max,Die Temperature Window Min,VCCINT Supply Present (V),VCCINT Supply Device Max,VCCINT Supply Device Min,VCCINT Supply Sampled Max,VCCINT Supply Sampled Min,VCCINT Supply Window Average,VCCINT Supply Window Max,VCCINT Supply Window Min,VCCAUX Supply Present (V),VCCAUX Supply Device Max,VCCAUX Device Min,VCCAUX Supply Sampled Max,VCCAUX Supply Sampled Min,VCCAUX Supply Window Average,VCCAUX Supply Window Max,VCCAUX Supply Window Min
2013.10.11 10:31:46, 42.0,42.5,28.5,231.0,-273.0,52.9,69.5,-181.5,1.010,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.504,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:47, 42.5,42.5,28.5,231.0,-273.0,52.7,69.5,-181.5,1.009,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.504,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:48, 42.5,43.0,28.5,231.0,-273.0,52.5,69.5,-181.5,1.010,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.504,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:49, 42.5,43.0,28.5,231.0,-273.0,52.3,69.0,-181.5,1.009,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.504,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:50, 43.0,43.0,28.5,231.0,-273.0,52.1,69.0,-181.5,1.009,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.504,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:51, 43.0,43.5,28.5,231.0,-273.0,51.9,69.0,-181.5,1.010,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.503,2.512,2.501,3.000,0.000,2.484,2.510,0.546,

2013.10.11 10:31:52, 43.0,43.5,28.5,231.0,-273.0,51.7,69.0,-181.5,1.010,1.013,1.009,3.000,0.000,1.004,1.012,0.546,2.505,2.512,2.501,3.000,0.000,2.485,2.510,0.546,

2013.10.11 10:31:53, 43.5,43.5,28.5,231.0,-273.0,51.5,69.0,-181.5,1.009,1.013,1.008,3.000,0.000,1.004,1.012,0.546,2.505,2.512,2.501,3.000,0.000,2.485,2.510,0.546,

2013.10.11 10:31:54, 43.5,43.5,28.5,231.0,-273.0,51.3,69.0,-181.5,1.009,1.013,1.008,3.000,0.000,1.004,1.012,0.546,2.503,2.512,2.501,3.000,0.000,2.485,2.510,0.546,

