Time Sampled,Die Temperature Present (C),Die Temperature Device Max, Die Temperature Device Min,Die Temperature Sampled Max,Die Temperature Sampled Min,Die Temperature Window Average,Die Temperature Window Max,Die Temperature Window Min,VCCINT Supply Present (V),VCCINT Supply Device Max,VCCINT Supply Device Min,VCCINT Supply Sampled Max,VCCINT Supply Sampled Min,VCCINT Supply Window Average,VCCINT Supply Window Max,VCCINT Supply Window Min,VCCAUX Supply Present (V),VCCAUX Supply Device Max,VCCAUX Device Min,VCCAUX Supply Sampled Max,VCCAUX Supply Sampled Min,VCCAUX Supply Window Average,VCCAUX Supply Window Max,VCCAUX Supply Window Min
2013.10.11 11:27:42, 32.5,36.5,31.0,118.5,-273.0,32.6,39.5,31.5,1.010,1.012,1.007,1.894,0.000,1.030,1.174,1.008,2.505,2.508,2.498,2.505,0.000,2.378,2.505,1.500,

2013.10.11 11:27:43, 32.5,36.5,31.0,118.5,-273.0,32.2,39.5,31.5,1.010,1.012,1.007,1.894,0.000,1.020,1.174,1.008,2.501,2.508,2.498,2.505,0.000,2.441,2.505,1.501,

2013.10.11 11:27:44, 32.5,36.5,31.0,118.5,-273.0,31.8,32.5,31.5,1.009,1.012,1.007,1.894,0.000,1.010,1.011,1.008,2.503,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:45, 33.0,36.5,31.0,118.5,-273.0,31.8,33.0,31.5,1.009,1.012,1.007,1.894,0.000,1.010,1.011,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:46, 33.0,36.5,31.0,118.5,-273.0,31.9,33.0,31.5,1.008,1.012,1.007,1.894,0.000,1.010,1.011,1.008,2.503,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:47, 33.0,36.5,31.0,118.5,-273.0,32.0,33.0,31.5,1.010,1.012,1.007,1.894,0.000,1.010,1.011,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:48, 33.5,36.5,31.0,118.5,-273.0,32.2,33.5,31.5,1.009,1.012,1.007,1.894,0.000,1.009,1.011,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:49, 33.5,36.5,31.0,118.5,-273.0,32.3,33.5,31.5,1.010,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.501,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:50, 33.5,36.5,31.0,118.5,-273.0,32.4,33.5,31.5,1.010,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.505,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:51, 33.5,36.5,31.0,118.5,-273.0,32.5,33.5,31.5,1.009,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.501,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:52, 33.5,36.5,31.0,118.5,-273.0,32.7,33.5,31.5,1.010,1.012,1.007,1.894,0.000,1.010,1.010,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:53, 34.0,36.5,31.0,118.5,-273.0,32.8,34.0,31.5,1.009,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:54, 34.0,36.5,31.0,118.5,-273.0,33.0,34.0,31.5,1.010,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.505,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

2013.10.11 11:27:55, 34.5,36.5,31.0,118.5,-273.0,33.1,34.5,31.5,1.009,1.012,1.007,1.894,0.000,1.009,1.010,1.008,2.504,2.508,2.498,2.505,0.000,2.503,2.505,2.501,

