Time Sampled,Die Temperature Present (C),Die Temperature Device Max, Die Temperature Device Min,Die Temperature Sampled Max,Die Temperature Sampled Min,Die Temperature Window Average,Die Temperature Window Max,Die Temperature Window Min,VCCINT Supply Present (V),VCCINT Supply Device Max,VCCINT Supply Device Min,VCCINT Supply Sampled Max,VCCINT Supply Sampled Min,VCCINT Supply Window Average,VCCINT Supply Window Max,VCCINT Supply Window Min,VCCAUX Supply Present (V),VCCAUX Supply Device Max,VCCAUX Device Min,VCCAUX Supply Sampled Max,VCCAUX Supply Sampled Min,VCCAUX Supply Window Average,VCCAUX Supply Window Max,VCCAUX Supply Window Min
2013.10.11 13:34:01, 55.5,56.0,30.0,118.5,-273.0,34.9,55.5,-273.0,1.007,1.012,1.005,1.894,0.000,0.944,1.008,0.000,2.500,2.508,2.493,2.509,0.000,2.342,2.500,0.000,

2013.10.11 13:34:02, 55.5,56.0,30.0,118.5,-273.0,34.9,55.5,-273.0,1.007,1.012,1.005,1.894,0.000,0.944,1.008,0.000,2.498,2.508,2.493,2.509,0.000,2.342,2.500,0.000,

2013.10.11 13:34:03, 55.5,56.0,30.0,118.5,-273.0,34.9,55.5,-273.0,1.006,1.012,1.005,1.894,0.000,0.944,1.008,0.000,2.499,2.508,2.493,2.509,0.000,2.342,2.500,0.000,

2013.10.11 13:34:04, 55.5,56.0,30.0,118.5,-273.0,34.9,55.5,-273.0,1.008,1.012,1.005,1.894,0.000,0.944,1.008,0.000,2.499,2.508,2.493,2.509,0.000,2.342,2.500,0.000,

2013.10.11 13:34:05, 55.5,56.0,30.0,118.5,-273.0,34.9,55.5,-273.0,1.007,1.012,1.005,1.894,0.000,0.944,1.008,0.000,2.497,2.508,2.493,2.509,0.000,2.342,2.500,0.000,

2013.10.11 13:34:06, 55.5,56.0,30.0,118.5,-273.0,55.4,55.5,55.0,1.006,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.501,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

2013.10.11 13:34:07, 55.5,56.0,30.0,118.5,-273.0,55.5,55.5,55.0,1.007,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.499,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

2013.10.11 13:34:08, 55.5,56.0,30.0,118.5,-273.0,55.5,55.5,55.0,1.008,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.499,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

2013.10.11 13:34:09, 55.5,56.0,30.0,118.5,-273.0,55.5,55.5,55.0,1.007,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.500,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

2013.10.11 13:34:10, 55.5,56.0,30.0,118.5,-273.0,55.5,55.5,55.0,1.007,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.499,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

2013.10.11 13:34:11, 55.5,56.0,30.0,118.5,-273.0,55.5,55.5,55.5,1.007,1.012,1.005,1.894,0.000,1.007,1.008,1.006,2.497,2.508,2.493,2.509,0.000,2.499,2.501,2.497,

